,Area Name,Quarter,No Of Establishments,Employment,One-Year Employment Gain/Loss (Percent),Average Weekly Wages,On-Year Weekly Wages Gain/Loss (Percent),Industry,FIPS
81,Frio County,Second Quarter,21.0,666.0,6.6,966.0,-11.0,Professional and Business Services,48163.0
82,Gaines County,Second Quarter,30.0,130.0,31.3,866.0,-7.6,Professional and Business Services,48165.0
83,Galveston County,Second Quarter,1020.0,9239.0,4.2,892.0,1.9,Professional and Business Services,48167.0
84,Garza County,Second Quarter,19.0,340.0,-9.3,786.0,5.1,Professional and Business Services,48169.0
85,Gillespie County,Second Quarter,125.0,491.0,5.6,852.0,2.3,Professional and Business Services,48171.0
86,Glasscock County,Second Quarter,5.0,,,,,Professional and Business Services,48173.0
87,Goliad County,Second Quarter,14.0,29.0,0.0,556.0,-25.9,Professional and Business Services,48175.0
88,Gonzales County,Second Quarter,46.0,216.0,-6.5,829.0,9.7,Professional and Business Services,48177.0
89,Gray County,Second Quarter,63.0,455.0,16.4,905.0,2.6,Professional and Business Services,48179.0
90,Grayson County,Second Quarter,395.0,3090.0,12.1,731.0,-4.1,Professional and Business Services,48181.0
91,Gregg County,Second Quarter,646.0,6866.0,6.8,914.0,-0.5,Professional and Business Services,48183.0
92,Grimes County,Second Quarter,62.0,348.0,0.9,639.0,-5.5,Professional and Business Services,48185.0
93,Guadalupe County,Second Quarter,280.0,3036.0,14.0,938.0,13.3,Professional and Business Services,48187.0
94,Hale County,Second Quarter,66.0,338.0,-8.6,677.0,3.0,Professional and Business Services,48189.0
95,Hall County,Second Quarter,3.0,9.0,-69.0,950.0,-26.1,Professional and Business Services,48191.0
96,Hamilton County,Second Quarter,22.0,63.0,-4.5,833.0,-23.6,Professional and Business Services,48193.0
97,Hansford County,Second Quarter,10.0,55.0,-17.9,1070.0,33.3,Professional and Business Services,48195.0
98,Hardeman County,Second Quarter,7.0,27.0,440.0,405.0,-49.3,Professional and Business Services,48197.0
99,Hardin County,Second Quarter,111.0,622.0,33.5,953.0,-0.8,Professional and Business Services,48199.0
100,Harris County,Second Quarter,23151.0,394885.0,2.3,1526.0,-0.1,Professional and Business Services,48201.0
101,Harrison County,Second Quarter,200.0,1439.0,-2.0,791.0,-5.0,Professional and Business Services,48203.0
102,Hartley County,Second Quarter,14.0,60.0,15.4,719.0,-23.4,Professional and Business Services,48205.0
103,Haskell County,Second Quarter,18.0,88.0,-50.3,853.0,7.0,Professional and Business Services,48207.0
104,Hays County,Second Quarter,727.0,4994.0,3.7,908.0,0.2,Professional and Business Services,48209.0
105,Hemphill County,Second Quarter,14.0,72.0,14.3,899.0,-11.0,Professional and Business Services,48211.0
106,Henderson County,Second Quarter,178.0,953.0,7.7,808.0,2.9,Professional and Business Services,48213.0
107,Hidalgo County,Second Quarter,1453.0,16307.0,6.4,580.0,-3.2,Professional and Business Services,48215.0
108,Hill County,Second Quarter,61.0,485.0,24.4,818.0,-21.3,Professional and Business Services,48217.0
109,Hockley County,Second Quarter,45.0,284.0,-7.8,551.0,10.9,Professional and Business Services,48219.0
110,Hood County,Second Quarter,226.0,926.0,-4.1,870.0,2.7,Professional and Business Services,48221.0
111,Hopkins County,Second Quarter,93.0,821.0,-23.0,852.0,36.3,Professional and Business Services,48223.0
112,Houston County,Second Quarter,150.0,480.0,-12.9,1018.0,14.9,Professional and Business Services,48225.0
113,Howard County,Second Quarter,108.0,404.0,3.3,946.0,12.5,Professional and Business Services,48227.0
114,Hudspeth County,Second Quarter,5.0,,,,,Professional and Business Services,48229.0
115,Hunt County,Second Quarter,162.0,1779.0,15.1,907.0,-14.1,Professional and Business Services,48231.0
116,Hutchinson County,Second Quarter,38.0,206.0,-9.3,934.0,-24.9,Professional and Business Services,48233.0
117,Irion County,Second Quarter,11.0,14.0,7.7,347.0,-11.5,Professional and Business Services,48235.0
118,Jack County,Second Quarter,21.0,253.0,45.4,826.0,-14.7,Professional and Business Services,48237.0
119,Jackson County,Second Quarter,43.0,153.0,31.9,762.0,14.2,Professional and Business Services,48239.0
120,Jasper County,Second Quarter,57.0,364.0,1.7,990.0,6.2,Professional and Business Services,48241.0
121,Jeff Davis County,Second Quarter,5.0,,,,,Professional and Business Services,48243.0
122,Jefferson County,Second Quarter,866.0,12200.0,-3.4,1044.0,-4.2,Professional and Business Services,48245.0
123,Jim Hogg County,Second Quarter,3.0,60.0,-1.6,1253.0,-12.1,Professional and Business Services,48247.0
124,Jim Wells County,Second Quarter,100.0,626.0,3.1,759.0,-2.6,Professional and Business Services,48249.0
125,Johnson County,Second Quarter,394.0,2641.0,-1.6,799.0,7.5,Professional and Business Services,48251.0
126,Jones County,Second Quarter,21.0,,,,,Professional and Business Services,48253.0
127,Karnes County,Second Quarter,35.0,884.0,45.4,1361.0,23.5,Professional and Business Services,48255.0
128,Kaufman County,Second Quarter,259.0,1862.0,19.6,705.0,1.9,Professional and Business Services,48257.0
129,Kendall County,Second Quarter,286.0,1532.0,-5.4,1318.0,5.3,Professional and Business Services,48259.0
130,Kenedy County,Second Quarter,5.0,24.0,-14.3,1228.0,-21.5,Professional and Business Services,48261.0
131,Kent County,Second Quarter,3.0,,,,,Professional and Business Services,48263.0
132,Kerr County,Second Quarter,214.0,1235.0,-0.5,905.0,-5.0,Professional and Business Services,48265.0
133,Kimble County,Second Quarter,14.0,28.0,,626.0,,Professional and Business Services,48267.0
134,King County,Second Quarter,3.0,,,,,Professional and Business Services,48269.0
135,Kinney County,Second Quarter,1.0,,,,,Professional and Business Services,48271.0
136,Kleberg County,Second Quarter,57.0,458.0,16.8,575.0,1.4,Professional and Business Services,48273.0
137,Knox County,Second Quarter,3.0,,,,,Professional and Business Services,48275.0
138,Lamar County,Second Quarter,122.0,1650.0,34.1,558.0,-12.0,Professional and Business Services,48277.0
139,Lamb County,Second Quarter,25.0,233.0,6.4,1128.0,-24.4,Professional and Business Services,48279.0
140,Lampasas County,Second Quarter,59.0,254.0,2.4,728.0,12.9,Professional and Business Services,48281.0
141,La Salle County,Second Quarter,15.0,104.0,10.6,851.0,20.2,Professional and Business Services,48283.0
142,Lavaca County,Second Quarter,53.0,198.0,1.0,760.0,13.1,Professional and Business Services,48285.0
143,Lee County,Second Quarter,33.0,236.0,-7.8,1009.0,5.8,Professional and Business Services,48287.0
144,Leon County,Second Quarter,39.0,162.0,11.0,835.0,9.7,Professional and Business Services,48289.0
145,Liberty County,Second Quarter,132.0,681.0,-17.8,782.0,-7.6,Professional and Business Services,48291.0
146,Limestone County,Second Quarter,36.0,342.0,32.6,1014.0,44.7,Professional and Business Services,48293.0
147,Lipscomb County,Second Quarter,8.0,40.0,11.1,663.0,-12.6,Professional and Business Services,48295.0
148,Live Oak County,Second Quarter,34.0,188.0,23.7,2013.0,22.3,Professional and Business Services,48297.0
149,Llano County,Second Quarter,55.0,249.0,19.1,712.0,-3.8,Professional and Business Services,48299.0
150,Loving County,Second Quarter,3.0,,,,,Professional and Business Services,48301.0
151,Lubbock County,Second Quarter,1137.0,11688.0,1.8,750.0,1.6,Professional and Business Services,48303.0
152,Lynn County,Second Quarter,7.0,22.0,-35.3,891.0,11.0,Professional and Business Services,48305.0
153,McCulloch County,Second Quarter,23.0,66.0,1.5,520.0,3.6,Professional and Business Services,48307.0
154,McLennan County,Second Quarter,724.0,10738.0,-2.2,815.0,6.7,Professional and Business Services,48309.0
155,McMullen County,Second Quarter,7.0,,,,,Professional and Business Services,48311.0
156,Madison County,Second Quarter,37.0,102.0,-4.7,877.0,23.5,Professional and Business Services,48313.0
157,Marion County,Second Quarter,17.0,37.0,-7.5,647.0,-75.9,Professional and Business Services,48315.0
158,Martin County,Second Quarter,9.0,,,,,Professional and Business Services,48317.0
159,Mason County,Second Quarter,15.0,50.0,16.3,921.0,15.3,Professional and Business Services,48319.0
160,Matagorda County,Second Quarter,85.0,667.0,4.2,1412.0,45.3,Professional and Business Services,48321.0
161,Maverick County,Second Quarter,66.0,437.0,7.4,622.0,6.7,Professional and Business Services,48323.0
162,Medina County,Second Quarter,103.0,605.0,0.7,647.0,12.9,Professional and Business Services,48325.0
163,Menard County,Second Quarter,5.0,10.0,100.0,187.0,-22.7,Professional and Business Services,48327.0
164,Midland County,Second Quarter,842.0,8922.0,11.6,1364.0,0.1,Professional and Business Services,48329.0
165,Milam County,Second Quarter,55.0,371.0,-24.9,738.0,17.5,Professional and Business Services,48331.0
166,Mills County,Second Quarter,11.0,51.0,13.3,450.0,-16.7,Professional and Business Services,48333.0
167,Mitchell County,Second Quarter,14.0,39.0,30.0,560.0,-8.2,Professional and Business Services,48335.0
168,Montague County,Second Quarter,50.0,142.0,21.4,629.0,9.4,Professional and Business Services,48337.0
169,Montgomery County,Second Quarter,2276.0,23932.0,14.0,1595.0,13.1,Professional and Business Services,48339.0
170,Moore County,Second Quarter,35.0,396.0,5.3,623.0,-6.5,Professional and Business Services,48341.0
171,Morris County,Second Quarter,22.0,87.0,1.2,1185.0,-7.3,Professional and Business Services,48343.0
172,Motley County,Second Quarter,4.0,19.0,11.8,269.0,-10.6,Professional and Business Services,48345.0
173,Nacogdoches County,Second Quarter,161.0,1771.0,-0.1,537.0,0.2,Professional and Business Services,48347.0
174,Navarro County,Second Quarter,119.0,896.0,9.8,679.0,0.1,Professional and Business Services,48349.0
175,Newton County,Second Quarter,16.0,66.0,13.8,1211.0,42.5,Professional and Business Services,48351.0
176,Nolan County,Second Quarter,41.0,327.0,2.5,694.0,4.4,Professional and Business Services,48353.0
177,Nueces County,Second Quarter,1258.0,14483.0,1.7,1073.0,5.1,Professional and Business Services,48355.0
178,Ochiltree County,Second Quarter,28.0,125.0,37.4,856.0,12.2,Professional and Business Services,48357.0
179,Oldham County,Second Quarter,5.0,12.0,20.0,780.0,74.5,Professional and Business Services,48359.0
180,Orange County,Second Quarter,155.0,1161.0,3.2,1006.0,11.5,Professional and Business Services,48361.0
181,Palo Pinto County,Second Quarter,72.0,357.0,12.6,765.0,9.4,Professional and Business Services,48363.0
182,Panola County,Second Quarter,62.0,547.0,10.3,676.0,-3.3,Professional and Business Services,48365.0
183,Parker County,Second Quarter,405.0,2225.0,-3.5,950.0,3.1,Professional and Business Services,48367.0
184,Parmer County,Second Quarter,21.0,252.0,0.8,803.0,32.5,Professional and Business Services,48369.0
185,Pecos County,Second Quarter,24.0,201.0,11.7,816.0,29.3,Professional and Business Services,48371.0
186,Polk County,Second Quarter,119.0,599.0,2.9,869.0,0.7,Professional and Business Services,48373.0
187,Potter County,Second Quarter,585.0,6228.0,-6.3,934.0,4.7,Professional and Business Services,48375.0
188,Presidio County,Second Quarter,10.0,61.0,27.1,513.0,24.2,Professional and Business Services,48377.0
189,Rains County,Second Quarter,24.0,141.0,-7.2,623.0,9.3,Professional and Business Services,48379.0
190,Randall County,Second Quarter,381.0,2725.0,9.3,1527.0,-1.1,Professional and Business Services,48381.0
191,Reagan County,Second Quarter,8.0,,,,,Professional and Business Services,48383.0
192,Real County,Second Quarter,8.0,23.0,,637.0,,Professional and Business Services,48385.0
193,Red River County,Second Quarter,16.0,102.0,36.0,1128.0,18.7,Professional and Business Services,48387.0
194,Reeves County,Second Quarter,29.0,131.0,-1.5,865.0,16.6,Professional and Business Services,48389.0
195,Refugio County,Second Quarter,12.0,258.0,706.3,166.0,-75.7,Professional and Business Services,48391.0
196,Roberts County,Second Quarter,4.0,8.0,-11.1,334.0,12.5,Professional and Business Services,48393.0
197,Robertson County,Second Quarter,25.0,112.0,19.1,828.0,32.7,Professional and Business Services,48395.0
198,Rockwall County,Second Quarter,484.0,2833.0,12.2,931.0,-3.9,Professional and Business Services,48397.0
199,Runnels County,Second Quarter,20.0,135.0,1.5,467.0,3.8,Professional and Business Services,48399.0
200,Rusk County,Second Quarter,90.0,1255.0,-9.5,714.0,6.1,Professional and Business Services,48401.0
201,Sabine County,Second Quarter,21.0,51.0,,928.0,,Professional and Business Services,48403.0
202,San Augustine County,Second Quarter,16.0,53.0,55.9,596.0,-29.0,Professional and Business Services,48405.0
203,San Jacinto County,Second Quarter,33.0,115.0,2.7,1118.0,7.3,Professional and Business Services,48407.0
204,San Patricio County,Second Quarter,144.0,908.0,-20.4,1167.0,-3.5,Professional and Business Services,48409.0
205,San Saba County,Second Quarter,18.0,40.0,2.6,682.0,-1.3,Professional and Business Services,48411.0
206,Schleicher County,Second Quarter,6.0,26.0,-31.6,1115.0,17.1,Professional and Business Services,48413.0
207,Scurry County,Second Quarter,34.0,282.0,-3.8,3041.0,45.1,Professional and Business Services,48415.0
208,Shackelford County,Second Quarter,12.0,33.0,26.9,564.0,0.2,Professional and Business Services,48417.0
209,Shelby County,Second Quarter,45.0,448.0,3.9,747.0,2.3,Professional and Business Services,48419.0
210,Sherman County,Second Quarter,8.0,24.0,0.0,787.0,20.9,Professional and Business Services,48421.0
211,Smith County,Second Quarter,1009.0,9780.0,12.1,910.0,1.6,Professional and Business Services,48423.0
212,Somervell County,Second Quarter,25.0,237.0,3.0,1148.0,10.7,Professional and Business Services,48425.0
213,Starr County,Second Quarter,70.0,289.0,0.3,648.0,-16.0,Professional and Business Services,48427.0
214,Stephens County,Second Quarter,21.0,137.0,53.9,830.0,7.7,Professional and Business Services,48429.0
215,Sterling County,Second Quarter,10.0,19.0,35.7,295.0,19.4,Professional and Business Services,48431.0
216,Stonewall County,Second Quarter,1.0,,,,,Professional and Business Services,48433.0
217,Sutton County,Second Quarter,16.0,103.0,-22.0,557.0,5.1,Professional and Business Services,48435.0
218,Swisher County,Second Quarter,8.0,25.0,0.0,796.0,9.2,Professional and Business Services,48437.0
219,Tarrant County,Second Quarter,7881.0,98285.0,-0.5,1144.0,8.1,Professional and Business Services,48439.0
220,Taylor County,Second Quarter,523.0,4951.0,-3.3,747.0,7.3,Professional and Business Services,48441.0
221,Terrell County,Second Quarter,6.0,19.0,72.7,624.0,-7.7,Professional and Business Services,48443.0
222,Terry County,Second Quarter,20.0,175.0,-11.6,683.0,8.9,Professional and Business Services,48445.0
223,Throckmorton County,Second Quarter,6.0,12.0,33.3,518.0,52.4,Professional and Business Services,48447.0
224,Titus County,Second Quarter,60.0,612.0,-2.4,669.0,-0.6,Professional and Business Services,48449.0
225,Tom Green County,Second Quarter,366.0,3569.0,1.8,729.0,4.6,Professional and Business Services,48451.0
226,Travis County,Second Quarter,11103.0,139309.0,2.8,1476.0,7.4,Professional and Business Services,48453.0
227,Trinity County,Second Quarter,19.0,,,,,Professional and Business Services,48455.0
228,Tyler County,Second Quarter,25.0,58.0,-43.7,656.0,31.5,Professional and Business Services,48457.0
229,Upshur County,Second Quarter,80.0,317.0,-19.5,963.0,-16.0,Professional and Business Services,48459.0
230,Upton County,Second Quarter,7.0,,,,,Professional and Business Services,48461.0
231,Uvalde County,Second Quarter,54.0,749.0,20.6,563.0,-3.4,Professional and Business Services,48463.0
232,Val Verde County,Second Quarter,67.0,794.0,-7.0,686.0,-1.7,Professional and Business Services,48465.0
233,Van Zandt County,Second Quarter,114.0,538.0,12.3,760.0,-1.4,Professional and Business Services,48467.0
234,Victoria County,Second Quarter,297.0,2413.0,3.3,870.0,1.5,Professional and Business Services,48469.0
235,Walker County,Second Quarter,145.0,787.0,-2.0,642.0,11.1,Professional and Business Services,48471.0
236,Waller County,Second Quarter,106.0,789.0,21.9,884.0,4.2,Professional and Business Services,48473.0
237,Ward County,Second Quarter,29.0,204.0,2.0,977.0,13.7,Professional and Business Services,48475.0
238,Washington County,Second Quarter,101.0,765.0,19.0,779.0,0.6,Professional and Business Services,48477.0
239,Webb County,Second Quarter,651.0,9365.0,7.6,588.0,4.8,Professional and Business Services,48479.0
240,Wharton County,Second Quarter,89.0,484.0,19.5,736.0,0.3,Professional and Business Services,48481.0
241,Wheeler County,Second Quarter,19.0,65.0,0.0,732.0,-63.4,Professional and Business Services,48483.0
242,Wichita County,Second Quarter,414.0,4306.0,29.3,637.0,-6.5,Professional and Business Services,48485.0
243,Wilbarger County,Second Quarter,25.0,138.0,0.7,642.0,7.2,Professional and Business Services,48487.0
244,Willacy County,Second Quarter,21.0,381.0,25.3,659.0,1.9,Professional and Business Services,48489.0
245,Williamson County,Second Quarter,2239.0,19897.0,2.1,1182.0,2.5,Professional and Business Services,48491.0
246,Wilson County,Second Quarter,99.0,411.0,15.8,641.0,2.9,Professional and Business Services,48493.0
247,Winkler County,Second Quarter,12.0,102.0,3.0,1462.0,-17.3,Professional and Business Services,48495.0
248,Wise County,Second Quarter,167.0,1000.0,1.1,804.0,3.6,Professional and Business Services,48497.0
249,Wood County,Second Quarter,95.0,428.0,5.9,759.0,-1.4,Professional and Business Services,48499.0
250,Yoakum County,Second Quarter,21.0,89.0,-2.2,1427.0,-1.3,Professional and Business Services,48501.0
251,Young County,Second Quarter,62.0,324.0,1.3,848.0,20.8,Professional and Business Services,48503.0
252,Zapata County,Second Quarter,17.0,90.0,5.9,904.0,-22.9,Professional and Business Services,48505.0
254, ,,,,,,,,
0,Anderson County,Second Quarter,163.0,679.0,1.5,1105.0,5.8,Financial Activities,48001.0
1,Andrews County,Second Quarter,42.0,364.0,4.3,1120.0,-1.2,Financial Activities,48003.0
2,Angelina County,Second Quarter,204.0,1162.0,-4.4,1006.0,14.4,Financial Activities,48005.0
3,Aransas County,Second Quarter,71.0,272.0,-5.6,853.0,3.9,Financial Activities,48007.0
4,Archer County,Second Quarter,11.0,,,,,Financial Activities,48009.0
5,Armstrong County,Second Quarter,2.0,,,,,Financial Activities,48011.0
6,Atascosa County,Second Quarter,83.0,892.0,24.4,1133.0,-3.4,Financial Activities,48013.0
7,Austin County,Second Quarter,102.0,435.0,2.4,1632.0,49.0,Financial Activities,48015.0
8,Bailey County,Second Quarter,12.0,73.0,7.4,942.0,10.2,Financial Activities,48017.0
9,Bandera County,Second Quarter,31.0,126.0,3.3,866.0,5.1,Financial Activities,48019.0
10,Bastrop County,Second Quarter,106.0,528.0,1.9,866.0,8.1,Financial Activities,48021.0
11,Baylor County,Second Quarter,12.0,47.0,-2.1,620.0,9.5,Financial Activities,48023.0
12,Bee County,Second Quarter,52.0,211.0,-7.0,882.0,1.6,Financial Activities,48025.0
13,Bell County,Second Quarter,608.0,5667.0,-2.2,749.0,1.2,Financial Activities,48027.0
14,Bexar County,Second Quarter,4256.0,77355.0,1.1,1284.0,6.9,Financial Activities,48029.0
15,Blanco County,Second Quarter,19.0,75.0,-22.7,841.0,5.1,Financial Activities,48031.0
16,Borden County,Second Quarter,1.0,,,,,Financial Activities,48033.0
17,Bosque County,Second Quarter,31.0,152.0,1.3,750.0,8.7,Financial Activities,48035.0
18,Bowie County,Second Quarter,285.0,1680.0,0.2,922.0,6.3,Financial Activities,48037.0
19,Brazoria County,Second Quarter,610.0,3636.0,0.8,1087.0,7.7,Financial Activities,48039.0
20,Brazos County,Second Quarter,532.0,3486.0,2.7,961.0,7.1,Financial Activities,48041.0
21,Brewster County,Second Quarter,41.0,121.0,-11.0,994.0,10.6,Financial Activities,48043.0
22,Briscoe County,Second Quarter,4.0,24.0,9.1,937.0,9.5,Financial Activities,48045.0
23,Brooks County,Second Quarter,9.0,54.0,-6.9,612.0,0.8,Financial Activities,48047.0
24,Brown County,Second Quarter,80.0,457.0,-13.6,764.0,-4.7,Financial Activities,48049.0
25,Burleson County,Second Quarter,27.0,137.0,-4.2,905.0,30.6,Financial Activities,48051.0
26,Burnet County,Second Quarter,119.0,548.0,10.5,1138.0,1.6,Financial Activities,48053.0
27,Caldwell County,Second Quarter,59.0,256.0,-4.1,822.0,5.9,Financial Activities,48055.0
28,Calhoun County,Second Quarter,51.0,314.0,11.3,1061.0,11.2,Financial Activities,48057.0
29,Callahan County,Second Quarter,19.0,84.0,-1.2,852.0,23.7,Financial Activities,48059.0
30,Cameron County,Second Quarter,743.0,4972.0,-1.4,682.0,3.5,Financial Activities,48061.0
31,Camp County,Second Quarter,23.0,108.0,-3.6,752.0,-2.6,Financial Activities,48063.0
32,Carson County,Second Quarter,8.0,32.0,0.0,640.0,-5.2,Financial Activities,48065.0
33,Cass County,Second Quarter,59.0,266.0,0.4,715.0,0.4,Financial Activities,48067.0
34,Castro County,Second Quarter,19.0,80.0,0.0,780.0,2.9,Financial Activities,48069.0
35,Chambers County,Second Quarter,55.0,281.0,4.1,1097.0,5.7,Financial Activities,48071.0
36,Cherokee County,Second Quarter,76.0,477.0,6.0,977.0,4.7,Financial Activities,48073.0
37,Childress County,Second Quarter,28.0,126.0,10.5,814.0,0.4,Financial Activities,48075.0
38,Clay County,Second Quarter,14.0,43.0,22.9,1149.0,3.1,Financial Activities,48077.0
39,Cochran County,Second Quarter,6.0,17.0,-19.0,795.0,10.4,Financial Activities,48079.0
40,Coke County,Second Quarter,4.0,27.0,3.8,881.0,-3.8,Financial Activities,48081.0
41,Coleman County,Second Quarter,18.0,123.0,5.1,1054.0,3.4,Financial Activities,48083.0
42,Collin County,Second Quarter,2930.0,39858.0,4.3,1501.0,-1.6,Financial Activities,48085.0
43,Collingsworth County,Second Quarter,3.0,,,,,Financial Activities,48087.0
44,Colorado County,Second Quarter,40.0,200.0,4.2,1267.0,-0.6,Financial Activities,48089.0
45,Comal County,Second Quarter,400.0,1784.0,8.1,990.0,5.2,Financial Activities,48091.0
46,Comanche County,Second Quarter,30.0,155.0,-3.7,716.0,-0.8,Financial Activities,48093.0
47,Concho County,Second Quarter,8.0,28.0,7.7,2064.0,168.8,Financial Activities,48095.0
48,Cooke County,Second Quarter,80.0,646.0,10.1,1118.0,14.7,Financial Activities,48097.0
49,Coryell County,Second Quarter,141.0,896.0,-0.6,1230.0,36.7,Financial Activities,48099.0
50,Cottle County,Second Quarter,1.0,,,,,Financial Activities,48101.0
51,Crane County,Second Quarter,11.0,61.0,10.9,1071.0,24.2,Financial Activities,48103.0
52,Crockett County,Second Quarter,12.0,147.0,24.6,1013.0,-0.9,Financial Activities,48105.0
53,Crosby County,Second Quarter,11.0,55.0,1.9,637.0,16.0,Financial Activities,48107.0
54,Culberson County,Second Quarter,4.0,12.0,-7.7,699.0,10.4,Financial Activities,48109.0
55,Dallam County,Second Quarter,26.0,171.0,0.6,1092.0,0.5,Financial Activities,48111.0
56,Dallas County,Second Quarter,9396.0,165447.0,4.8,1705.0,3.3,Financial Activities,48113.0
57,Dawson County,Second Quarter,25.0,114.0,-2.6,1053.0,29.4,Financial Activities,48115.0
58,Deaf Smith County,Second Quarter,45.0,236.0,1.7,832.0,8.3,Financial Activities,48117.0
59,Delta County,Second Quarter,6.0,25.0,25.0,770.0,17.4,Financial Activities,48119.0
60,Denton County,Second Quarter,1568.0,14105.0,3.0,1236.0,-0.5,Financial Activities,48121.0
61,DeWitt County,Second Quarter,59.0,544.0,18.8,945.0,3.2,Financial Activities,48123.0
62,Dickens County,Second Quarter,4.0,17.0,6.3,881.0,3.0,Financial Activities,48125.0
63,Dimmit County,Second Quarter,24.0,152.0,0.0,834.0,6.0,Financial Activities,48127.0
64,Donley County,Second Quarter,8.0,34.0,-42.4,834.0,-31.6,Financial Activities,48129.0
65,Duval County,Second Quarter,7.0,43.0,-2.3,686.0,1.9,Financial Activities,48131.0
66,Eastland County,Second Quarter,46.0,451.0,78.3,1359.0,41.3,Financial Activities,48133.0
67,Ector County,Second Quarter,389.0,3186.0,1.7,1154.0,-0.7,Financial Activities,48135.0
68,Edwards County,Second Quarter,4.0,10.0,11.1,1103.0,28.9,Financial Activities,48137.0
69,Ellis County,Second Quarter,302.0,1333.0,4.5,1049.0,8.9,Financial Activities,48139.0
70,El Paso County,Second Quarter,1661.0,12160.0,-0.2,895.0,9.0,Financial Activities,48141.0
71,Erath County,Second Quarter,94.0,559.0,6.7,818.0,-0.1,Financial Activities,48143.0
72,Falls County,Second Quarter,19.0,59.0,-28.0,724.0,-2.3,Financial Activities,48145.0
73,Fannin County,Second Quarter,56.0,320.0,-2.4,872.0,9.1,Financial Activities,48147.0
74,Fayette County,Second Quarter,74.0,518.0,10.2,959.0,-1.2,Financial Activities,48149.0
75,Fisher County,Second Quarter,5.0,46.0,0.0,982.0,-9.1,Financial Activities,48151.0
76,Floyd County,Second Quarter,12.0,63.0,6.8,724.0,-3.3,Financial Activities,48153.0
77,Foard County,Second Quarter,2.0,,,,,Financial Activities,48155.0
78,Fort Bend County,Second Quarter,1325.0,6877.0,3.6,1341.0,0.9,Financial Activities,48157.0
79,Franklin County,Second Quarter,22.0,101.0,1.0,922.0,6.6,Financial Activities,48159.0
80,Freestone County,Second Quarter,30.0,139.0,-15.2,872.0,4.7,Financial Activities,48161.0
81,Frio County,Second Quarter,25.0,157.0,16.3,960.0,0.8,Financial Activities,48163.0
82,Gaines County,Second Quarter,29.0,169.0,-10.1,989.0,12.1,Financial Activities,48165.0
83,Galveston County,Second Quarter,696.0,6127.0,3.2,1078.0,6.0,Financial Activities,48167.0
84,Garza County,Second Quarter,9.0,38.0,2.7,553.0,3.0,Financial Activities,48169.0
85,Gillespie County,Second Quarter,77.0,430.0,4.1,1182.0,20.0,Financial Activities,48171.0
86,Glasscock County,Second Quarter,2.0,,,,,Financial Activities,48173.0
87,Goliad County,Second Quarter,11.0,41.0,13.9,922.0,-11.7,Financial Activities,48175.0
88,Gonzales County,Second Quarter,48.0,297.0,13.8,909.0,9.5,Financial Activities,48177.0
89,Gray County,Second Quarter,55.0,239.0,-0.8,992.0,23.2,Financial Activities,48179.0
90,Grayson County,Second Quarter,265.0,2738.0,-2.0,1564.0,71.5,Financial Activities,48181.0
91,Gregg County,Second Quarter,455.0,3155.0,4.0,995.0,7.2,Financial Activities,48183.0
92,Grimes County,Second Quarter,29.0,292.0,8.1,1002.0,9.9,Financial Activities,48185.0
93,Guadalupe County,Second Quarter,211.0,1110.0,0.2,1012.0,15.0,Financial Activities,48187.0
94,Hale County,Second Quarter,77.0,366.0,-12.4,699.0,10.4,Financial Activities,48189.0
95,Hall County,Second Quarter,6.0,46.0,-6.1,663.0,6.6,Financial Activities,48191.0
96,Hamilton County,Second Quarter,12.0,63.0,3.3,820.0,-8.8,Financial Activities,48193.0
97,Hansford County,Second Quarter,13.0,123.0,-3.1,915.0,-4.1,Financial Activities,48195.0
98,Hardeman County,Second Quarter,8.0,41.0,2.5,850.0,-0.1,Financial Activities,48197.0
99,Hardin County,Second Quarter,85.0,285.0,-5.0,691.0,2.4,Financial Activities,48199.0
100,Harris County,Second Quarter,12092.0,126411.0,2.9,1634.0,2.8,Financial Activities,48201.0
101,Harrison County,Second Quarter,135.0,922.0,-9.3,880.0,-0.5,Financial Activities,48203.0
102,Hartley County,Second Quarter,4.0,,,,,Financial Activities,48205.0
103,Haskell County,Second Quarter,9.0,50.0,6.4,667.0,1.8,Financial Activities,48207.0
104,Hays County,Second Quarter,419.0,2563.0,6.6,905.0,8.9,Financial Activities,48209.0
105,Hemphill County,Second Quarter,23.0,79.0,-16.8,1013.0,9.3,Financial Activities,48211.0
106,Henderson County,Second Quarter,142.0,693.0,0.3,744.0,5.7,Financial Activities,48213.0
107,Hidalgo County,Second Quarter,1298.0,8581.0,-0.8,803.0,8.8,Financial Activities,48215.0
108,Hill County,Second Quarter,64.0,260.0,0.4,793.0,5.2,Financial Activities,48217.0
109,Hockley County,Second Quarter,54.0,273.0,3.8,891.0,-10.2,Financial Activities,48219.0
110,Hood County,Second Quarter,150.0,789.0,-13.4,1013.0,-23.1,Financial Activities,48221.0
111,Hopkins County,Second Quarter,84.0,597.0,1.7,844.0,2.8,Financial Activities,48223.0
112,Houston County,Second Quarter,68.0,398.0,25.9,1552.0,3.5,Financial Activities,48225.0
113,Howard County,Second Quarter,93.0,441.0,4.3,811.0,2.1,Financial Activities,48227.0
114,Hudspeth County,Second Quarter,3.0,8.0,-11.1,456.0,3.4,Financial Activities,48229.0
115,Hunt County,Second Quarter,139.0,569.0,-20.9,871.0,2.2,Financial Activities,48231.0
